AspectRatio	Duration	Character
29,410	0,390	V
32,260	0,350	V
76,920	27,590	J
17,550	18,320	M
25,670	0,880	V
37,670	0,750	J
132,000	0,500	J
12,960	0,660	M
16,920	0,720	M
22,140	0,310	V
36,840	0,320	V
62,170	0,450	J
36,070	0,560	J
11,850	0,530	M
10,540	0,530	M
35,290	0,420	V
27,600	0,310	V
27,630	0,510	J
42,590	0,460	J
16,000	0,490	M
15,310	0,560	M
20,190	0,390	V
24,440	0,390	V
41,670	0,930	J
15,480	0,720	M
31,740	0,450	V
80,880	10,190	J
16,710	12,770	M
18,160	0,590	V
55,000	13,870	J
17,500	0,640	M
24,620	0,410	V
90,000	23,630	J
21,590	28,710	M
37,500	13,040	V
82,310	26,600	J
20,000	25,320	M
42,500	11,460	V
50,000	16,600	J
10,750	15,110	M
22,170	10,280	V
54,440	13,370	J
15,430	0,960	M
21,290	10,360	V
65,360	0,440	J
11,060	0,560	M
22,500	0,260	V
49,710	0,770	J
17,640	0,920	M
30,280	0,500	V
47,410	0,570	J
0,780	0,620	M
20,250	0,350	V
46,070	31,040	J
0,720	10,250	M
21,940	0,680	V
43,430	0,440	J
72,590	0,430	J
73,640	0,370	J
65,810	0,410	J
16,840	0,610	M
17,820	0,600	M
18,260	0,610	M
18,300	0,590	M
30,650	0,310	V
34,620	0,260	V
27,740	0,250	V
28,790	0,300	V
38,620	0,890	J
11,730	19,950	J
17,140	12,030	M
15,420	0,710	M
25,480	0,560	V
24,000	0,420	V
60,910	0,360	J
80,560	0,340	J
100,670	0,330	J
14,550	0,450	M
14,600	0,420	M
13,700	0,420	M
24,850	0,260	V
21,180	0,250	V
19,060	0,230	V
91,770	0,530	J
64,820	0,440	J
124,670	0,410	J
10,240	0,480	M
13,660	0,460	M
12,410	0,690	M
41,910	0,280	V
33,330	0,220	V
38,420	0,240	V
21,670	0,480	J
0,910	0,520	M
18,330	0,330	V
107,060	0,460	J
74,230	0,510	J
14,040	0,660	M
23,270	0,570	M
28,000	0,460	V
22,560	0,290	V
18,290	0,760	J
32,370	0,630	J
10,170	14,900	M
12,310	0,610	M
18,480	0,430	V
18,000	0,350	V
63,910	0,440	J
62,500	0,490	J
14,800	0,570	M
11,960	0,600	M
23,030	0,330	V
24,240	0,390	V
37,650	0,510	J
37,270	0,610	J
12,310	0,570	M
12,860	0,520	M
25,360	0,280	V
21,860	0,280	V
55,420	0,500	J
0,780	0,600	M
21,710	0,310	V
